"74","70mm Copper Lug 10mm Stud Bell","CTL70-10",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"75","Narrow Palm Lug 70-10mm","CTLNP70-10",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"76","95MM COPPER LUG 10MM STUD BELL","CTL95-8",240,"2023-06-13 23:13:49","Kanban Stock",0,0,2
"77","NARROW PALM LUG 95-8mm","CTLNP95-8",200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"78","95MM COPPER LUG 10MM STUD BELL","CTL95-10",320,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"79","95 x 10mm NARROW PALM LUG","CTLNP95-10",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"80","Narrow Palm Lug 120-10mm","CTLNP120-10",210,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"81","150mm Copper Lug 8mm Stud Bell","CTL150-8",320,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"82","150mm Cpr Lug 10mm Stud Bell","CTL150-10",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"83","Narrow Palm Lug 150-10mm","CTLNP150-10",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"84","Narrow Palm Lug 185-10mm","CTLNP185-10",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10",20,"2023-06-13 23:14:09","Kanban Stock",0,0,2
"86","Narrow Palm Lug 240-10mm","CTLNP240-10",50,"2023-06-13 23:14:25","Kanban Stock",0,0,2
"87","M4 x 10 MACHINE SCREW CHEESE SLOT ZP","MTM410CHSZ",600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"88","SCREW STEEL PAN-HD POZI 4X16MM","41311",200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"89","4 x 20mm screw","28378",600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"90","4mm Spring Washer","33031",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"91","4mm Flat Washer (small)","8344",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"92","4mm nut","3167",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"93","SCREW M5 X 30 PAN HEAD","060607P47        ",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"94","5mm SPRING WASHER ZP","5891",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"95","5mm FLAT WASHER 5 x 10 x 1mm","8345",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"96","3/16X1/2X20G FLAT WASHER ZP","WF3161220Z       ",3400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"97","M5 HEX NUT ZP","NM5Z             ",3000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"98","5MM EXTERNAL TOOTH WASHER ZP","WETM5Z           ",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"99","5MM INTERNAL TOOTH WASHER ZP","WITM5Z           ",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"100","M6 X 30 MACHINE SCREWS PAN SLO","MTM630PSBR       ",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"101","M6 X 40 PAN PHIL METAL THREAD","MTM640PXZ        ",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"102","M6 Flat Head Bolt","CSTUDM625Z",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"103","6mm Spring coil Zinc Washer 1/4x1/16/1/16","8691",2200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"104","6mm FLAT WASHER 6x 15.8x1.6mm","401",3400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"105","1/4 x 3/4 x 16 Imperial Washer","8578",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"106","WASHER FLAT ROUND ZINC 6mm (1/4)","WASHM6ZP         ",7500,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"107","6mm nut","NM6Z",2250,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"108","SCR-HEX-ISO4017-8.8-WS13-(A2K) - M8x12","30157",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"109","M8 x 16 Hex Screw","30153",968,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"110","8mmx25mm Flat Head Bolt","Not Available",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"111","SCREW SET H/T GR8.8 HEX 8x20mm","20mm",3600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"112","M8 X 25 HEX SET SCREW CL 8.8 Z","10mm",800,"2023-06-13 23:12:41","Kanban Stock",0,0,2
"113","M8X30 SET SCREW","Its a washer",2000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"114","M8 X 35 HEX SET SCREW CL 8.8 Z","12mm",1400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"115","8MM INTERNAL TOOTH WASHER ZP","WITM8Z",3000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"116","8mm Nut","3179",3500,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"117","M10 X 16 Hex Crew","SSM1016Z8",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"118","M10 X 20 HEX SET SCREW CL 8.8","SSM1020Z8",300,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"119","M10 X 25 HEX SET SCREW CL 8.8 ZINC SILVER","SSM1025Z8",350,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"120","SCREW M10 X 30 HEX SET 8.8 H/T","060609C50",700,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"121","SCREW M10 x 35  SET H/T GR8.8 HEX-HD","415",150,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"122","NUT HEX-STEEL TRIVALENT-ZINC 10MM","3180",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"123","SCREW SET H/T GR8.8 HEX TRIV.ZINC     MM 12X35","432",350,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"124","SCREW M12 X 40 HEX SET 8.8 F/T","060609C82",200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"125","SCREW M12 X 45 HEX SET 8.8 F/T","SSM1245Z8",450,"2023-06-05 01:48:19","Kanban Stock",0,0,2
