"HM82","800 Vent Cover Top IP56","8-VCT56","Variance",15,6,9,89.91,1,89.91,1,89.91,"2023-06-29 02:33:43","HYMOD",2
"HM62","800 Esc Frame Bottom","8EfB","Variance",30,10,20,16.1,1,16.1,1,16.1,"2023-06-29 02:33:43","HYMOD",2
"HM11","800 RaCab - Rail Cable Support","8RACAB","Variance",30,15,15,18.08,1,18.08,1,18.08,"2023-06-29 02:33:43","HYMOD",2
"HM8","800 RaCh-CBI - Rail Channel","8RACH-C","Variance",50,25,25,15.73,1,15.73,1,15.73,"2023-06-29 02:33:43","HYMOD",2
"HM22","800 RaGTCT - Rail Gear Tray CT","8RaGTCT","Variance",4,2,2,25.4,1,25.4,1,25.4,"2023-06-29 02:33:43","HYMOD",2
"HM19","800 RaM -Rail Mount - Single","8RaM-S","Variance",30,15,15,8.9,1,8.9,1,8.9,"2023-06-29 02:33:43","HYMOD",2
"HM53","800x75 Part Hori Centre 6mm BAKELITE","8X0WPAHC-B/LITE","INSULCUT",20,5,15,12.7,1,12.7,1,12.7,"2023-06-29 02:33:43","HYMOD",2
"HM6","800x400 Gland Plate - 3mm Ali","8X4GP-A3","Variance",30,15,15,22,1,22,1,22,"2023-06-29 02:33:43","HYMOD",2
"HM13","800x400 Gland Plate - 2mm Ali Filter","8X4GPF-A2","Variance",20,10,10,28.84,1,28.84,1,28.84,"2023-06-29 02:33:43","HYMOD",2
"HM75","900 Esc Frame Bottom","9EfB","Variance",15,8,7,18.69,1,18.69,1,18.69,"2023-06-29 02:33:43","HYMOD",2
"HM12","900 RaCab - Rail Cable Support","9RACAB","Variance",25,10,15,19.16,1,19.16,1,19.16,"2023-06-29 02:33:43","HYMOD",2
"HM9","900 RaCh-CBI - Rail Channel","9RACH-C","Variance",30,16,14,17.03,1,17.03,1,17.03,"2023-06-29 02:33:43","HYMOD",2
"HM20","900 RaM -Rail Mount - Single","9RaM-S","Variance",15,5,10,9.5,1,9.5,1,9.5,"2023-06-29 02:33:43","HYMOD",2
"HM5","900x400 Gland Plate - 3mm Ali","9X4GP-A3","Variance",8,4,4,27.4,1,27.4,1,27.4,"2023-06-29 02:33:43","HYMOD",2
"BH4","Contactor Mounting Bkt (Ext)","ADV-CC50","NYLEC",60,20,40,2.9,1,2.9,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH9","CONTACTOR MOUNTING BKT( Int )","ADV-HQFC CC50","NYLEC",60,20,40,4.8,1,4.8,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH7","ADV580 - DUCT MOUNTING BRACKET","ADV580BKTDM","NYLEC",600,300,300,1.75,1,1.75,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH8","ADV 700-DUCT","ADV700BKTDM","NYLEC",400,200,200,1.75,1,1.75,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH26","ADV 700 - GEAR TRAY","ADV700GT","NYLEC",40,20,20,6.8,1,6.8,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH11","ADV-BKT-METAL","ADVBKTMSEG","NYLEC",40,20,20,8,1,8,-2,-16,"2023-06-29 04:16:34","Top Hat",2
"BH3","ADV Cable Support Bracket","ADVCSUPBKT","NYLEC",60,30,30,3.2,1,3.2,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH10","ADV-HVC CHASSIS MAIN SWITCH MOUNTING TOP HAT","ADVHVCTHMSDIN","NYLEC",60,30,30,5.6,1,5.6,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH15","ADV MAIN SWITCH TOPHAT","ADVTH","NYLEC",120,60,60,6.79,1,6.79,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH12","ADV-3xF50 DV MOUNTING","ADVTH3F50DVMS","NYLEC",10,5,5,9.14,1,9.14,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH2","ADV-CONTROL SWITCH","ADVTHCS3F50DV","NYLEC",80,40,40,3,1,3,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH14","ADV-CONTROL SWITCH MOUNTING","ADVTHCSDIN","NYLEC",100,50,50,3,1,3,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH13","F50DV TOP HAT FOR ADV","ADVTHF50","NYLEC",60,30,30,6.6,1,6.6,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH1","KDN400 TOP HAT FOR ADV","ADVTHKDN400","NYLEC",30,10,20,6.33,1,6.33,5,31.65,"2023-07-07 00:28:55","Top Hat",2
"BH17","ADV-MAIN SWITCH MOUNTING","ADVTHMSDIN","NYLEC",120,60,60,5.64,1,5.64,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH18","ADVTHMSDIN-EDS3250 - 46.5mmW","ADVTHMSDIN-01","NYLEC",120,60,60,4.9,1,4.9,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH16","ADVTHMSDIN-EDS3250T2","ADVTHMSDIN-02","NYLEC",120,60,60,4.9,1,4.9,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH5","SFM3-G3 MCB TOP HAT FOR ADV","ADVTHSFM3G3","NYLEC",20,5,15,6.11,1,6.11,0,0,"2023-06-29 04:16:34","Top Hat",2
"HM101","Bakelite Thickness 4.5mm 250 x 150","BAKELITE250X150","QUADOR",25,10,15,5,1,5,1,5,"2023-06-29 02:33:43","HYMOD",2
"HM103","Bar Rack Brac","BarRkBr","Variance",200,80,120,5.22,1,5.22,1,5.22,"2023-06-29 02:33:43","HYMOD",2
"BH19","CUSTOM BRACKET 1","BRKT00001","NYLEC",15,5,10,2.8,1,2.8,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH76","CUSTOM BRACKET 2","BRKT00002","NYLEC",15,5,10,6.2,1,6.2,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH74","CUSTOM BRACKET3(100mm)","BRKT00003(100MM)","NYLEC",15,5,10,3.2,1,3.2,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH73","CUSTOM BRACKET4(230mm)","BRKT00004(230MM)","NYLEC",15,5,10,7.13,1,7.13,0,0,"2023-06-29 04:16:34","Top Hat",2
"HM38","Bracket L-Esc Frame 28","BrL-Ef28","Variance",100,40,60,1.66,1,1.66,1,1.66,"2023-06-29 02:33:43","HYMOD",2
"HM40","Bracket L-Esc Frame 30","BrL-Ef30","Variance",400,100,300,1.51,1,1.51,1,1.51,"2023-06-29 02:33:43","HYMOD",2
"HM34","Bracket L3-65 CBI Standard 2 Hole","BrL3-65S-2","Variance",200,50,150,2.22,1,2.22,1,2.22,"2023-06-29 02:33:43","HYMOD",2
"HM39","Bracket L3-65 CBI Standard 8 Hole","BrL3-65S-8","Variance",400,100,300,2.54,1,2.54,1,2.54,"2023-06-29 02:33:43","HYMOD",2
"HM35","Bracket L3-75 Corslot 2 Hole","BrL3-75C-2","Variance",100,25,75,2.27,1,2.27,1,2.27,"2023-06-29 02:33:43","HYMOD",2
"HM37","Bracket L3-75 Corslot 8 Hole","BrL3-75C-8","Variance",100,50,50,2.6,1,2.6,1,2.6,"2023-06-29 02:33:43","HYMOD",2
"HM36","Bracket L -Earth","BRL3-E","Variance",75,25,50,3.12,1,3.12,1,3.12,"2023-06-29 02:33:43","HYMOD",2
"HM106","Fuse Bracket","BrL3-Fuse","Variance",60,25,35,5.52,1,5.52,1,5.52,"2023-06-29 02:33:43","HYMOD",2
"HM41","Bracket Z - Partician 1x28","BrZ-Pa1-28","Variance",100,30,70,1.51,1,1.51,1,1.51,"2023-06-29 02:33:43","HYMOD",2
"HM42","Bracket Z - Partician 2x28","BrZ-Pa2-28","Variance",250,100,150,1.92,1,1.92,1,1.92,"2023-06-29 02:33:43","HYMOD",2
"HM14","Bus Sup Clamp 205 N100","BsCp-205N100","Variance",50,20,30,8.77,1,8.77,1,8.77,"2023-06-29 02:33:43","HYMOD",2
"HM15","Bus Sup Rail 205 N100","BsR-205N100","Variance",50,20,30,10.13,1,10.13,1,10.13,"2023-06-29 02:33:43","HYMOD",2
"BH66","CT SPACER","CT SPACER","QUADOR",100,50,50,6.9,1,6.9,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH62","F50DV to HVC Chassis Mounting Copper Tags","CTF50DV-HVC","NYLEC",60,30,30,4.76,1,4.76,0,0,"2023-06-29 04:16:34","Top Hat",2
"HM43","Door Stay Bracket Flat","DBrS-F","Variance",50,15,35,2.29,1,2.29,1,2.29,"2023-06-29 02:33:43","HYMOD",2
"HM102","Door Stay Bracket U","DBrS-U","Variance",60,20,40,5.58,1,5.58,1,5.58,"2023-06-29 02:33:43","HYMOD",2
"BH38","HPR DUCT MOUNTING BRACKET TYPE2","DMBKT-HPR","NYLEC",200,50,150,2.07,1,2.07,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH81","EMPTY BH81","EMPTY 1","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH96","EMPTY BH96","EMPTY 10","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH97","EMPTY BH97","EMPTY 11","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH98","EMPTY BH98","EMPTY 12","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH99","EMPTY BH99","EMPTY 13","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH100","EMPTY BH100","EMPTY 14","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH82","EMPTY BH82","EMPTY 2","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH83","EMPTY BH83","EMPTY 3","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH84","EMPTY BH84","EMPTY 4","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH85","EMPTY BH85","EMPTY 5","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH86","EMPTY BH86","EMPTY 6","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH87","EMPTY BH87","EMPTY 7","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH88","EMPTY BH88","EMPTY 8","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH89","EMPTY BH89","EMPTY 9","NA",0,0,0,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"HM88","M6 x 8 HEX MULTI HEAD SERATED SCREW ZINC PLATED FOR HIB650","F-HMHSS-M6X8","SELECTLOK",2000,1000,1000,5.95,100,0.0595,1,0.0595,"2023-06-29 02:33:43","HYMOD",2
"HM107","P 56 Spacer Top","GF56-B","Variance",20,8,12,4.6,1,4.6,1,4.6,"2023-06-29 02:33:43","HYMOD",2
"HM95","Hinge Brass pintleNickel then chrome Plated","HIB500NS-E","SELECTLOK",200,100,100,1.68,1,1.68,1,1.68,"2023-06-29 02:33:43","HYMOD",2
"HM99","HM101 - EMPTY SPACE","HM101EMPTY","HM101",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM100","HM102 - EMPTY SPACE","HM102EMPTY","HM102",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM109","HM112 - EMPTY SPACE","HM112EMPTY","HM112",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM111","HM114 - EMPTY SPACE","HM114EMPTY","HM114",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM112","HM115 - EMPTY SPACE","HM115EMPTY","HM115",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM127","HM130 - EMPTY SPACE","HM130EMPTY","HM130",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM16","HM16 - EMPTY SPACE","HM16EMPTY","HM16",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM25","HM25 - EMPTY SPACE","HM25EMPTY","HM25",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM26","HM26 - EMPTY SPACE","HM26EMPTY","HM26",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM27","HM27 - EMPTY SPACE","HM27EMPTY","HM27",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM28","HM28 - EMPTY SPACE","HM28EMPTY","HM28",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM31","HM31 - EMPTY SPACE","HM31EMPTY","HM31",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM44","HM44 - EMPTY SPACE","HM44EMPTY","HM44",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM51","HM51 - EMPTY SPACE","HM51EMPTY","HM51",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM67","HM67 - EMPTY SPACE","HM67EMPTY","HM67",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM76","HM76 - EMPTY SPACE","HM76EMPTY","HM76",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM80","HM80 - EMPTY SPACE","HM80EMPTY","HM80",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"HM91","HM91 - EMPTY SPACE","HM91EMPTY","HM91",0,0,0,0,0,\N,1,\N,"2023-06-29 02:33:43","HYMOD",2
"BH77","HPR700 E&N TYPE 2","HPR700E&N","NYLEC",40,10,30,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH34","HPR-CONTROL SWITCH MOUNTING","HPRCSMTHSTD","NYLEC",120,40,80,3.91,1,3.91,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH39","HPR DUCT MOUNTING BRACKET","HPRDMB","NYLEC",200,50,150,2.07,1,2.07,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH33","F50DV TOP HAT FOR HPR","HPRF50DVMSMTH","NYLEC",40,10,30,8.28,1,8.28,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH79","HPR-HPC LOW PAN CHASSIS MOUNTING TOP HAT","HPRHPCCMTH","NYLEC",20,10,10,4.9,1,4.9,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH78","HPR-CONTROL SWITCH MOUNTING","HPRLCSMTHL","NYLEC",20,10,10,6.5,1,6.5,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH31","HPR-QF CHASSIS","HPRQFCMTH","NYLEC",20,10,10,6.21,1,6.21,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH80","HPR METAL SEGREGATION","HPRSEGBKT","NYLEC",10,5,5,0,1,0,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH75","SK204 TOP HAT FOR HPR","HPRTHSK204","NYLEC",20,10,10,8.2,1,8.2,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH37","HPR SELECTOR SWITCH MOUNTING","HPRTHSSDIN","NYLEC",50,20,30,4.8,1,4.8,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH71","HPS E&N MOUNTING BRACKET(400)","HPS-E&NBKT(400)","NYLEC",30,10,20,8.63,1,8.63,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH22","HPS E&N MOUNTING BRACKETS","HPS-E&NBKT-TYPE2","NYLEC",40,20,20,7.82,1,7.82,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH46","HPS GEAR TRAY 100 ( 100 x 610)","HPSGT100","NYLEC",20,10,10,10.35,1,10.35,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH48","HPS GEAR TRAY 300 (300 x 610)","HPSGT300","NYLEC",15,5,10,13.23,1,13.23,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH49","HPS GEAR TRAY 400 (400 x 610)","HPSGT400","NYLEC",10,5,5,14.95,1,14.95,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH42","HPS 900 GEAR TRAY","HPSGT900","NYLEC",10,5,5,13,1,13,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH41","HPS GEAR TRAY 900 TYPE1","HPSGT900T1","NYLEC",10,5,5,11,1,11,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH43","HPS GEAR TRAY 900 TYPE2","HPSGT900T2","NYLEC",15,5,10,17.25,1,17.25,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH44","HPS GEAR TRAY 900 TYPE3","HPSGT900T3","NYLEC",15,5,10,17,1,17,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH70","HPS HIGH MOUNTING BRACKET(400)","HPSHIGHMTBRKT400","NYLEC",60,20,40,10.12,1,10.12,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH68","HPS LOW MOUNTING BRACKET(400)","HPSLOWMTBRKT400","NYLEC",60,20,40,8.97,1,8.97,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH69","HPS MEDIUM MOUNTING BRACKET","HPSMEDMTBRKT400","NYLEC",60,20,40,9.55,1,9.55,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH28","HPS SOCOMEC TOP HAT","HPSOCOMECTH","NYLEC",30,15,15,9.5,1,9.5,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH21","HPS SIDE MOUNTING BRACKET(300)","HPSSIDEMTNBKT300","NYLEC",60,30,30,5.46,1,5.46,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH72","HPS SIDE MOUNTING BRACKET(400)","HPSSIDEMTNBKT400","NYLEC",60,20,40,5.98,1,5.98,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH27","HPS SURGE BRACKET","HPSSRGBRKT","NYLEC",50,20,30,4.1,1,4.1,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH40","HPS 900-STANDARD CROSS BAR","HPS_CRSBAR-900ST","NYLEC",15,5,10,9.2,1,9.2,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH45","HPS 700-STANDARD CROSS BAR(R2)","HPS_CRSBAR_700ST","NYLEC",10,5,5,8.97,1,8.97,0,0,"2023-06-29 04:16:34","Top Hat",2
"BH47","HPS 700-GT (R2)","HPS_GT_700","NYLEC",15,5,10,20.13,1,20.13,0,0,"2023-06-29 04:16:34","Top Hat",2
