"110","M8 x 25 CLINCH STUD ZINC SILVER","CSTUDM825Z",100,100,0,100,3,100,0.03,409,0,409,12.27,"2023-06-28 04:33:06","Kanban Stock",2
"55","10mm Copper Lug 10mm Stud Bell","CTL10-10",100,100,0,100,0.31,1,0.31,205,0,205,63.55,"2023-06-28 04:33:06","Kanban Stock",2
"56","10mm Copper Lug 12mm Stud Bell","CTL10-12",100,100,0,100,0.28,1,0.28,101,0,101,28.28,"2023-06-28 04:33:06","Kanban Stock",2
"53","10mm X 6 Copper Lug","CTL10-6",100,100,0,100,0.31,1,0.31,448,0,448,138.88,"2023-06-28 04:33:06","Kanban Stock",2
"54","10 X 8 Copper Lug","CTL10-8",100,100,0,100,0.27,1,0.27,253,400,653,176.31,"2023-06-28 04:33:06","Kanban Stock",2
"79.3","120MM COPPER LUG 10MM STUD BELL","CTL120-10",30,90,30,60,2.19,1,2.19,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
"79.1","120MM COPPER LUG 8MM STUD BELL","CTL120-8",30,90,30,60,2.19,1,2.19,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
"82","150mm Cpr Lug 10mm Stud Bell","CTL150-10",20,80,20,60,4.69,1,4.69,7,100,107,501.83,"2023-06-28 04:33:06","Kanban Stock",2
"81","150mm Copper Lug 8mm Stud Bell","CTL150-8",20,80,20,60,3.02,1,3.02,23,320,343,1035.86,"2023-06-28 04:33:06","Kanban Stock",2
"59","16mm Copper Lug 10mm Stud Bell","CTL16-10",100,300,100,200,0.46,1,0.46,152,650,802,368.92,"2023-06-28 04:33:06","Kanban Stock",2
"57","16mm Copper Lug 6mm Stud Bell","CTL16-6",100,100,0,100,0.32,1,0.32,247,250,497,159.04,"2023-06-28 04:33:06","Kanban Stock",2
"58","16mm Copper Lug 8mm Stud Bell","CTL16-8",200,600,200,400,0.36,1,0.36,99,250,349,125.64,"2023-06-28 04:33:06","Kanban Stock",2
"83.1","185mm Copper Lug 10mm Stud Bell","CTL185-10",20,80,40,40,3.36,1,3.36,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10",10,50,30,20,7.72,1,7.72,10,40,50,386,"2023-06-28 04:33:06","Kanban Stock",2
"62","25mm Copper Lug 10mm Stud Bell","CTL25-10",100,300,100,200,0.5,1,0.5,120,400,520,260,"2023-06-28 04:33:06","Kanban Stock",2
"60","25mm Copper Lug 6mm Stud Bell","CTL25-6",100,100,0,100,0.48,1,0.48,133,400,533,255.84,"2023-06-28 04:33:06","Kanban Stock",2
"61","25mm Copper Lug 8mm Stud Bell","CTL25-8",200,600,200,400,0.44,1,0.44,93,300,393,172.92,"2023-06-28 04:33:06","Kanban Stock",2
"65","35 X 10mm LUG","CTL35-10",100,300,100,200,0.6,1,0.6,121,120,241,144.6,"2023-06-28 04:33:06","Kanban Stock",2
"63","35mm Copper Lug 6mm Stud Bell","CTL35-6",50,50,0,50,0.82,1,0.82,91,360,451,369.82,"2023-06-28 04:33:06","Kanban Stock",2
"64","35mm Copper Lug 8mm Stud Bell","CTL35-8",200,600,200,400,0.77,1,0.77,118,600,718,552.86,"2023-06-28 04:33:06","Kanban Stock",2
"69","50mm Copper Lug 10mm Stud Bell","CTL50-10",100,300,100,200,0.82,1,0.82,85,200,285,233.7,"2023-06-28 04:33:06","Kanban Stock",2
"66","50mm Copper Lug 6mm Stud Bell","CTL50-6",100,100,0,100,1.05,1,1.05,96,100,196,205.8,"2023-06-28 04:33:06","Kanban Stock",2
"67","50 X 8mm LUG","CTL50-8",400,1200,400,800,1.04,1,1.04,48,340,388,403.52,"2023-06-28 04:33:06","Kanban Stock",2
"52","6mm x 8 Copper Lug","CTL6-8",100,100,0,100,0.21,1,0.21,2197,0,2197,461.37,"2023-06-28 04:33:06","Kanban Stock",2
"74","70mm Copper Lug 10mm Stud Bell","CTL70-10",50,150,50,100,1.12,1,1.12,38,100,138,154.56,"2023-06-28 04:33:06","Kanban Stock",2
"70","70mm Copper Lug 6mm Stud Bell","CTL70-6",50,50,0,50,0.84,1,0.84,86,160,246,206.64,"2023-06-28 04:33:06","Kanban Stock",2
"72","70mm Copper Lug 8mm Stud Bell","CTL70-8",200,600,200,400,1.33,1,1.33,37,400,437,581.21,"2023-06-28 04:33:06","Kanban Stock",2
"78","95MM COPPER LUG 10MM STUD BELL","CTL95-10",60,180,60,120,1.93,1,1.93,31,320,351,677.43,"2023-06-28 04:33:06","Kanban Stock",2
"76","95MM COPPER LUG 10MM STUD BELL","CTL95-8",60,240,120,120,1.42,1,1.42,31,200,231,328.02,"2023-06-28 04:33:06","Kanban Stock",2
"80","Narrow Palm Lug 120-10mm","CTLNP120-10",50,50,0,50,4.35,1,4.35,20,210,230,1000.5,"2023-06-28 04:33:06","Kanban Stock",2
"79.2","NARROW PALM LUG 120-8mm","CTLNP120-8",30,90,30,60,3.05,1,3.05,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
"83","Narrow Palm Lug 150-10mm","CTLNP150-10",20,60,20,40,5.7,1,5.7,30,100,130,741,"2023-06-28 04:33:06","Kanban Stock",2
"82.1","NARROW PALM LUG 150-8mm","CTLNP150-8",20,60,20,40,3.95,1,3.95,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
